Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771723730	173	0	0	0	0	180788	487252	0	2011316	6230568	0	24512	0	443891	2367	835189	1009	10	754	6	29
1771723731	174	0	0	0	0	181746	346448	0	1756560	6237161	0	24562	0	445872	2381	836111	1015	10	759	8	35
1771723732	175	0	0	0	0	178394	487720	0	2062088	6250347	0	24706	0	450963	2396	836670	1018	10	767	10	39
1771723733	176	0	0	0	0	175396	333816	0	1731168	6263533	0	24846	0	455070	2419	840581	1030	10	767	8	35
1771723734	177	0	0	0	0	180356	493512	0	2073812	6276719	0	24988	0	456602	2428	840706	1031	10	774	10	39
1771723735	178	0	0	0	0	175919	480316	0	2022860	6303091	0	25270	0	457216	2437	840706	1031	10	776	8	34
1771723736	179	0	0	0	0	178389	487776	0	2062088	6303091	0	25272	0	457384	2440	840706	1031	10	781	10	39
1771723737	180	0	0	0	0	179075	637760	0	2385192	6316277	0	25410	0	459279	2453	841437	1037	10	789	12	43
1771723738	181	0	0	0	0	181288	339884	0	1710992	6336056	0	25640	0	459691	2460	841609	1039	10	789	5	28
1771723739	182	0	0	0	0	183209	349344	0	1762424	6342649	0	25694	0	463544	2484	848504	1052	10	791	8	35
1771723740	183	0	0	0	0	181322	496512	0	2079668	6355835	0	25834	0	464700	2497	848504	1052	10	798	10	39
1771723741	184	0	0	0	0	177858	478456	0	1993736	6375614	0	26066	0	466207	2510	849184	1056	10	798	6	29
1771723742	185	0	0	0	0	182797	500936	0	2088464	6382207	0	26116	0	466676	2517	849532	1057	10	806	10	39
1771723743	186	0	0	0	0	178896	489216	0	2065016	6395393	0	26258	0	470820	2529	849829	1060	10	811	10	39
1771723744	187	0	0	0	0	180836	494912	0	2076740	6408579	0	26398	0	471322	2533	849829	1060	10	814	10	39
1771723745	188	0	0	0	0	184743	506808	0	2100176	6421765	0	26538	0	473750	2549	850305	1065	10	819	10	39
1771723746	189	0	0	0	0	182261	491648	0	2020112	6441544	0	26766	0	474678	2556	850305	1065	11	819	6	29
1771723747	190	0	0	0	0	177350	337616	0	1738984	6448137	0	26820	0	475121	2563	850305	1065	11	823	8	35
1771723748	191	0	0	0	0	180043	641700	0	2393016	6461323	0	26958	0	475800	2570	850305	1065	11	833	12	43
1771723749	192	0	0	0	0	179351	490696	0	2043368	6474509	0	27102	0	476539	2575	850305	1065	11	833	10	36
